root@gitlab:~/dev/work/repositories/arc_study# python -m arc.run
INFO    | ARC | Task 184 | Failed    | runtime: 1.480s memory: 661.96Mb
INFO    | ARC | Task 185 | Failed    | runtime: 2.845s memory: 272.50Mb
INFO    | ARC | Task 187 | Failed    | runtime: 0.167s memory: 272.50Mb
INFO    | ARC | Task 119 | Failed    | runtime: 30.461s memory: 298.73Mb
INFO    | ARC | Task 189 | *Passed    | runtime: 0.087s memory: 298.73Mb
INFO    | ARC | Task 186 | Failed    | runtime: 3.692s memory: 661.96Mb
INFO    | ARC | Task 188 | Failed    | runtime: 2.121s memory: 272.50Mb
INFO    | ARC | Task 183 | Failed    | runtime: 6.614s memory: 505.20Mb
INFO    | ARC | Task 191 | Failed    | runtime: 0.238s memory: 661.96Mb
INFO    | ARC | Task 190 | Failed    | runtime: 1.357s memory: 298.73Mb
INFO    | ARC | Task 194 | Failed    | runtime: 0.488s memory: 661.96Mb
INFO    | ARC | Task 195 | *Passed    | runtime: 0.632s memory: 298.73Mb
INFO    | ARC | Task 196 | Failed    | runtime: 0.616s memory: 661.96Mb
INFO    | ARC | Task 193 | Failed    | runtime: 1.478s memory: 505.20Mb
INFO    | ARC | Task 192 | Failed    | runtime: 2.088s memory: 272.50Mb
INFO    | ARC | Task 197 | Failed    | runtime: 1.156s memory: 298.73Mb
INFO    | ARC | Task 200 | Failed    | runtime: 0.181s memory: 272.50Mb
INFO    | ARC | Task 201 | Failed    | runtime: 0.287s memory: 298.73Mb
INFO    | ARC | Task 198 | Failed    | runtime: 3.338s memory: 661.96Mb
INFO    | ARC | Task 202 | Failed    | runtime: 2.569s memory: 272.50Mb
INFO    | ARC | Task 204 | Failed    | runtime: 4.414s memory: 661.96Mb
INFO    | ARC | Task 203 | Failed    | runtime: 6.732s memory: 306.48Mb
INFO    | ARC | Task 207 | Failed    | runtime: 0.672s memory: 661.96Mb
INFO    | ARC | Task 210 | Failed    | runtime: 2.900s memory: 661.96Mb
INFO    | ARC | Task 211 | *Passed    | runtime: 0.125s memory: 661.96Mb
INFO    | ARC | Task 212 | Failed    | runtime: 0.137s memory: 661.96Mb
INFO    | ARC | Task 199 | Failed    | runtime: 11.916s memory: 505.20Mb
INFO    | ARC | Task 213 | Failed    | runtime: 0.881s memory: 661.96Mb
INFO    | ARC | Task 215 | Failed    | runtime: 2.398s memory: 661.96Mb
INFO    | ARC | Task 216 | Failed    | runtime: 0.313s memory: 661.96Mb
INFO    | ARC | Task 214 | Failed    | runtime: 3.780s memory: 505.20Mb
INFO    | ARC | Task 218 | Failed    | runtime: 0.281s memory: 505.20Mb
INFO    | ARC | Task 206 | Failed    | runtime: 13.454s memory: 272.50Mb
INFO    | ARC | Task 220 | Failed    | runtime: 1.474s memory: 272.50Mb
INFO    | ARC | Task 221 | Failed    | runtime: 1.306s memory: 272.50Mb
INFO    | ARC | Task 222 | Failed    | runtime: 0.278s memory: 272.50Mb
INFO    | ARC | Task 217 | Failed    | runtime: 5.649s memory: 661.96Mb
INFO    | ARC | Task 224 | Failed    | runtime: 0.151s memory: 661.96Mb
INFO    | ARC | Task 219 | Failed    | runtime: 5.608s memory: 505.20Mb
INFO    | ARC | Task 223 | Failed    | runtime: 1.922s memory: 272.50Mb
INFO    | ARC | Task 225 | Failed    | runtime: 1.225s memory: 661.96Mb
INFO    | ARC | Task 228 | Failed    | runtime: 0.177s memory: 661.96Mb
INFO    | ARC | Task 226 | Failed    | runtime: 0.851s memory: 505.20Mb
INFO    | ARC | Task 230 | Failed    | runtime: 0.132s memory: 505.20Mb
INFO    | ARC | Task 227 | Failed    | runtime: 0.830s memory: 272.50Mb
INFO    | ARC | Task 176 | Failed    | runtime: 33.483s memory: 605.44Mb
INFO    | ARC | Task 229 | Failed    | runtime: 0.913s memory: 661.96Mb
INFO    | ARC | Task 232 | Failed    | runtime: 0.597s memory: 272.50Mb
INFO    | ARC | Task 209 | Failed    | runtime: 15.689s memory: 306.48Mb
INFO    | ARC | Task 231 | Failed    | runtime: 0.690s memory: 505.20Mb
INFO    | ARC | Task 233 | Failed    | runtime: 0.633s memory: 605.44Mb
INFO    | ARC | Task 238 | Failed    | runtime: 0.126s memory: 605.44Mb
INFO    | ARC | Task 237 | Failed    | runtime: 0.473s memory: 505.20Mb
INFO    | ARC | Task 240 | Failed    | runtime: 0.263s memory: 505.20Mb
INFO    | ARC | Task 235 | Failed    | runtime: 0.990s memory: 272.50Mb
INFO    | ARC | Task 236 | Failed    | runtime: 0.943s memory: 306.48Mb
INFO    | ARC | Task 242 | *Passed    | runtime: 0.133s memory: 272.50Mb
INFO    | ARC | Task 239 | Failed    | runtime: 1.823s memory: 605.44Mb
INFO    | ARC | Task 241 | Failed    | runtime: 1.409s memory: 505.20Mb
INFO    | ARC | Task 247 | Failed    | runtime: 0.534s memory: 505.20Mb
INFO    | ARC | Task 246 | Failed    | runtime: 0.900s memory: 605.44Mb
